"contrast","statistic","p.value","df","observations"
"Duration and APOE","3.56666476859105","0.00926314984460786","5","475"
"","","","",""
"TukeyHSD","mean diff","CIlwr","CIhi","p-value"
"APOE3/3-APOE2/2","-5.95093406593407","-9.8472637295897","-2.05460440227843","0.000220676315268453"
"APOE4/4-APOE2/2","-1.48025083612038","-5.64277177095178","2.68227009871103","0.911979024218665"
"APOE4/4-APOE3/3","4.47068322981369","1.25067611631791","7.69069034330948","0.00115143658673744"
"E2HN-E3HN","-12.3005555555555","-24.9455755328645","0.34446442175348","0.0618691757635673"
"E4HN-E2HN","-10.4864285714285","-22.9035916879101","1.93073454505302","0.152553744681398"
"E4HN-E3HN","6.50142857142859","2.7079225782359","10.2949345646213","1.91360580479305e-05"
"APOE2/2-E2HN","11.0369230769231","-1.41203820459773","23.4858843584439","0.115601149134906"
"APOE3/3-E3HN","4.68730158730162","0.203856696860491","9.17074647774274","0.0344845342271576"
"APOE4/4-E4HN","2.0307453416149","-2.03568840374673","6.09717908697654","0.709270762157832"
