Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
1,191028_3,APOE2/2F,F,APOE2/2,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,88,314.4,8.62,0,0.029,173.7,120.8,228.2,56.6,41,106.2,4.326,7.1,0.049,54.5,33.9,26.6,,,,,,,,,94.6,96.1,12.946,83.2
2,191028_4,APOE2/2F,F,APOE2/2,A,openfield,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,90,307.4,7.767,1.7,0.032,177.3,67.9,221.9,22.9,65,111.7,3.842,12.2,0.043,44.6,45.5,23.2,,,,,,,,,,,11.609,46.1
3,191028_5,APOE2/2F,F,APOE2/2,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,103,356.9,16.958,0.3,0.049,259.9,87.3,330.8,37.4,75,94.1,7.144,8.1,0.075,70.9,24.7,16.7,,,,,,,,,61.2,55.6,24.102,54.1
4,191028_6,APOE2/2M,M,APOE2/2,B,openfield,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,76,296.4,6.867,0,0.025,136.3,134.1,194.6,40.8,43,97.4,5.107,2.9,0.052,58.3,40.7,9,,,,,,,,,,,11.974,49.8
5,191028_7,APOE2/2M,M,APOE2/2,B,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,110,344,10.83,13.7,0.039,211.3,63.2,314.3,41.4,73,92.7,9.253,0,0.074,103,22.2,12.8,,,,,,,,,44.9,47.4,20.083,54.2
6,191028_3,APOE2/2F,F,APOE2/2,A,Dilutions,1,2Objects_NOR,9,10.5,0.555555556,1.1,9,1.6,4.4,0,9,8.4,0.444444444,0,7.6,0.8,3.8,0,21,58.4,4.388,5.2,0.078,47.3,8.8,66.2,3.6,14,20,1.079,0,0.05,18.9,2.6,0,6,12.2,68,0.7,4,3.8,79.5,0,17.4,11.8,5.467,3.6
7,191028_4,APOE2/2F,F,APOE2/2,A,Dilutions,1,2Objects_NOR_2,9,12.2,0.484126984,14,12.2,0,4.8,0,11,13,0.515873016,10.9,13,0,4.8,0,30,46.6,3.59,0.2,0.081,40.2,4.1,68.7,0,26,33.9,2.405,14.3,0.084,28.5,0,0,8,11.2,45.2,0,10,14.1,50.8,0,,,5.995,0
8,191028_5,APOE2/2F,F,APOE2/2,A,Dilutions,1,2Objects_NOR,8,10.1,0.372693727,3.7,10.1,0,1.9,0,10,17,0.627306273,8.1,9.4,7.6,4.4,0,20,42.5,3.602,1.2,0.08,42.5,2.5,70.9,0,24,40.7,1.822,4.9,0.054,28.4,5.1,0,5,3.6,60,0,9,14.7,18.3,0.1,16.4,15.8,5.424,0
9,191028_6,APOE2/2M,M,APOE2/2,B,Dilutions,1,2Objects_NOR_2,4,6,0.582524272,42.1,2.9,3,1.8,0,5,4.3,0.417475728,30.3,4.3,0,3,0,21,65.3,4.183,0,0.068,56.5,4.9,66.3,1.1,10,22.1,0.909,12.3,0.092,9.8,0,0,7,7.3,,0,6,13,33.7,0.1,,,5.092,1.1
10,191028_7,APOE2/2M,M,APOE2/2,B,Dilutions,1,2Objects_NOR,7,8,0.446927374,3.3,8,0,3.5,0,7,9.9,0.553072626,1.6,9.9,0,3.7,0,28,49.4,3.567,7.7,0.076,42,4.8,68,0,16,39.4,1.344,0,0.038,26,9.2,1.3,6,9.6,46.2,0,9,18,60.6,0,15.9,8.5,4.911,1.3
