Test,Animal,Treatment,Sex,APOE,Code,Stage,age,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
1,200302_3,APOE22M,M,APOE2/2,A,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,80,328.5,13.799,0.6,0.032,388.5,41.8,422.2,65.8,33,37.6,4.888,0,0.145,33.7,0,0,,,,,,,,,57.3,48.9,18.687,65.8
2,200302_4,APOE22M,M,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,65,290.4,6.617,13,0.026,177.1,74.2,251.5,26.9,59,140.7,4.076,0,0.032,74.4,53.9,29.4,,,,,,,,,,,10.693,56.3
3,200302_6,APOE22F,F,APOE2/2,B,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,75,423.6,11.65,5.6,0.03,225.7,167.3,266.2,101.4,34,82.8,4.114,0,0.056,40.5,32.5,24.4,,,,,,,,,,,15.764,125.8
4,200302_5,APOE22M,M,APOE2/2,A,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,130,280.4,8.911,9.7,0.029,210.5,101.1,255.1,47.5,51,97.5,4.143,0,0.041,44.6,57.2,33.9,,,,,,,,,80.2,58.6,13.054,81.4
5,200302_8,APOE22F,F,APOE2/2,B,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,150,296.8,10.515,10.1,0.044,153.7,83.4,212.8,37.2,93,73.8,6.605,0,0.082,59.1,21.6,13.3,,,,,,,,,,,17.12,50.5
6,200302_7,APOE22F,F,APOE2/2,B,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,199,264.2,13.286,2.1,0.037,257.3,97.4,313.9,41.8,52,69.2,5.181,0,0.071,56.6,16.2,9.1,,,,,,,,,71.6,64.9,18.467,50.9
7,200302_10,APOE22M,M,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,77,409.3,12.736,2.9,0.034,233.6,139.2,280.2,62.4,48,52.5,4.613,0,0.091,46.6,4.3,2.9,,,,,,,,,,,17.349,65.3
8,200302_9,APOE22F,F,APOE2/2,B,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,155,250.5,9.014,1.7,0.034,198.9,69.3,273.2,24,59,114,6.382,0,0.054,74.3,43.2,20.6,,,,,,,,,81.5,66.6,15.396,44.6
9,200302_11,APOE22M,M,APOE2/2,A,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,101,247.2,8.67,5.8,0.029,154,150.2,195.6,97.2,49,69.5,3.278,0,0.049,41.6,24.8,11.8,,,,,,,,,182.2,180.3,11.948,109
10,200302_12,APOE22M,M,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,65,360.3,11.6,9.5,0.034,203.6,139.3,249,43.3,39,92.7,4.063,0,0.044,45.4,48,16.3,,,,,,,,,,,15.663,59.6
