Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
161107_1,N54716/N54915,Day1,1,4,F,383,old,46.6,44.442,17,13.175,0,0,6.6,6.883,22.9,24.384,0.491416309,0.5486701769,0.9536909871,1.0648034934
161107_2,N54714/N54916,Day1,1,4,F,383,old,16.1,12.126,0,0,0,0,0,0,16.1,12.126,1,1,0.7531677019,0.7531677019
161107_3,N54717,Day1,1,4,F,383,old,17.9,18.714,6.3,6.915,0,0,2.3,3.343,9.2,8.456,0.5139664804,0.4518542268,1.0454748603,0.9191304348
161107_4,N54715/N54917,Day1,1,4,M,379,old,60,92.751,25.8,32.25,12.9,25.597,9.6,16.092,11.8,18.812,0.1966666667,0.2028226111,1.54585,1.5942372881
161107_5,N54718//N54721,Day1,1,4,M,379,old,46.6,96.192,14.3,27.235,7.1,18.78,7.9,20.943,17.4,29.235,0.3733905579,0.3039234032,2.0642060086,1.6801724138
161107_6,N54719,Day1,1,4,M,379,old,60,94.652,19.9,30.939,17.2,29.005,9.9,15.666,13,19.042,0.2166666667,0.2011790559,1.5775333333,1.4647692308
161107_7,N54720,Day1,1,4,M,379,old,6.9,6.03,1.9,2.163,0,0,0,0,5.1,3.867,0.7391304348,0.6412935323,0.8739130435,0.7582352941
161107_8,N54722,Day1,1,4,M,379,old,60,131.162,16,33.594,16.4,35.199,13.8,33.266,13.8,29.103,0.23,0.2218859121,2.1860333333,2.1089130435
170123_1,N54760/N54754/N54755,Day1,1,0,F,400,old,60,120.281,10.9,20.418,14.6,30.972,19.7,41.001,14.8,27.891,0.2466666667,0.2318820096,2.0046833333,1.884527027
170123_2,N54757/N54759,Day1,1,0,F,400,old,60,105.861,15.9,22.155,18,33.135,21.8,41.132,4.3,9.439,0.0716666667,0.0891640925,1.76435,2.1951162791
170123_3,N54765,Day1,1,0,F,400,old,60,89.474,25.3,28.317,12,18.19,20,36.937,2.7,6.03,0.045,0.0673938798,1.4912333333,2.2333333333
170123_4,N54766,Day1,1,4,M,396,old,34.6,34.282,27.6,29.53,1.5,0.918,0,0,5.5,3.835,0.1589595376,0.1118662855,0.9908092486,0.6972727273
