animal,genotype,sex,agegroup,LP,RI_T2,RI_T3
170123_2,C57,F,Older,0.552699229,0.713924051,0.630434783
170123_1,C57,F,Older,0.554140127,0.737827715,0.551515152
170123_6,APOE4,F,Older,0.45505618,0.662068966,0
170123_7,APOE4,F,Older,0.407932011,0.61774744,0.365217391
170123_8,APOE4,F,Older,0.510288066,0.612903226,0.525974026
170123_9,APOE4,F,Older,0.513636364,0.560538117,0.754863813
170123_3,C57,F,Older,0.49070632,0.73594132,0.671794872
170123_4,APOE4,M,Older,0.408450704,0.541436464,0.393518519
170123_5,APOE4,M,Older,0.567741935,0.436681223,0.587020649
170123_10,APOE3,F,Older,0.425531915,0.540669856,0.510416667
170123_11,APOE3,F,Older,0.505813953,0.677339901,0.869257951
170206_1,APOE3,F,Older,0.522865854,0.697560976,0.764705882
170206_3,APOE3,M,Older,0.572104019,0.913978495,0.815789474
170206_4,APOE3,M,Older,0.445530726,0.655172414,0.608163265
170206_5,APOE3,M,Older,0.524122807,0.678571429,0.651832461
170206_6,APOE3,M,Older,0.509868421,0.583011583,0.551020408
170206_8,APOE3,M,Older,0.560344828,0.130434783,0.619047619
170206_11,APOE3,M,Older,0.458333333,0.650224215,0.504
170206_12,APOE3,M,Older,0.489177489,0.583892617,0.647540984
170313_1,C57,F,Older,0.492997199,0.660777385,0.752688172
170313_2,C57,F,Older,0.471830986,0.516129032,0.625514403
170313_3,C57,M,Older,0.533057851,0.474025974,0.7
170313_4,C57,M,Older,0.5,0.856140351,0.549295775
170313_5,C57,M,Older,0.451428571,0.703389831,0.666666667
170313_7,C57,M,Older,0.517509728,0.767195767,0.736842105
170227_1,C57,F,Younger,0.495652174,0.555102041,0.804232804
170227_2,C57,F,Younger,0.47314578,0.164285714,0.632978723
170227_3,C57,F,Younger,0.505720824,0.460916442,0.692307692
170227_4,C57,F,Younger,0.479768786,0.614035088,0.723300971
170227_5,C57,F,Younger,0.557692308,0.520661157,0.693181818
170227_6,C57,M,Younger,0.542929293,0.618644068,0.814814815
170227_7,C57,M,Younger,0.446808511,0.706521739,0.65942029
170227_8,C57,M,Younger,0.460884354,0.536585366,0.739726027
170227_9,C57,M,Younger,0.518518519,0.528795812,0.742424242
170227_10,C57,M,Younger,0.455958549,0.647887324,0.602564103
170501_3,C57,M,Older,0.510288066,0.47107438,0.717241379
170501_4,C57,F,Older,0.501618123,0.471232877,0.482587065
170501_7,C57,F,Older,0.585365854,0.684659091,0.555555556
170501_8,C57,F,Older,0.557971014,0.357142857,0.460093897
